,precision,recall,f1-score,support
0,0.9354456116570654,0.9514044459762192,0.9433575395130286,5803.0
1,0.9263871240999576,0.948153285937229,0.9371438364968507,11534.0
2,0.9861884669479606,0.9694983684530722,0.977772199910754,36162.0
3,0.9028213166144201,0.9632107023411371,0.9320388349514563,598.0
4,0.7358490566037735,0.8863636363636364,0.8041237113402062,88.0
5,0.7712,0.8739800543970988,0.8193795155121123,1103.0
8,1.0,1.0,1.0,1.0
9,0.9597701149425287,0.9901185770750988,0.9747081712062257,506.0
10,0.8068181818181818,0.9161290322580645,0.8580060422960725,155.0
accuracy,0.9611796246648794,0.9611796246648794,0.9611796246648794,0.9611796246648794
macro avg,0.8916088747426542,0.9443175669779507,0.9162810945807451,55950.0
weighted avg,0.9623389325513191,0.9611796246648794,0.9615837371191507,55950.0
