,precision,recall,f1-score,support
0,0.9719546135731106,0.7823539548509392,0.8669085354210425,5803.0
1,0.9079116835326587,0.8556441824172013,0.8810033922513837,11534.0
2,0.9515829679640638,0.9782921298600741,0.9647527236531722,36162.0
3,0.8516320474777448,0.959866220735786,0.9025157232704403,598.0
4,0.7526881720430108,0.7954545454545454,0.7734806629834253,88.0
5,0.6004714201532115,0.9238440616500453,0.7278571428571428,1103.0
8,0.5,1.0,0.6666666666666666,1.0
9,0.9313543599257885,0.9920948616600791,0.9607655502392345,506.0
10,0.6784140969162996,0.9935483870967742,0.8062827225130891,155.0
accuracy,0.931295799821269,0.931295799821269,0.931295799821269,0.931295799821269
macro avg,0.7940010401762099,0.9201220381917161,0.8389147910950663,55950.0
weighted avg,0.935442381752491,0.931295799821269,0.9312231695536858,55950.0
