,precision,recall,f1-score,support
0,0.9764569664222308,0.829916352304412,0.8972426633566807,12194.0
1,0.8794790844514602,0.926884045915821,0.9025595334521302,12022.0
2,0.9687281349607401,0.9787722881156233,0.9737243103852465,50924.0
3,0.8862244897959184,0.973109243697479,0.9276368491321763,1785.0
4,0.7796610169491526,0.71875,0.7479674796747967,64.0
5,0.7800224466891134,0.8705636743215032,0.8228097868981847,2395.0
9,0.9073569482288828,0.9977528089887641,0.9504102747056725,1335.0
10,0.7475083056478405,0.9868421052631579,0.8506616257088847,228.0
accuracy,0.9454457855139783,0.9454457855139783,0.9454457855139783,0.9454457855139783
macro avg,0.8656796741431674,0.910323814825845,0.8841265654142215,80947.0
weighted avg,0.9474500790064242,0.9454457855139783,0.9452427419373929,80947.0
