,precision,recall,f1-score,support
0,0.9506501898069623,0.9652288010496965,0.9578840284842319,12194.0
1,0.93990679421143,0.9562468807186825,0.9480064321939554,12022.0
2,0.9891429937447707,0.9750412379231796,0.9820414944324677,50924.0
3,0.917989417989418,0.9719887955182073,0.94421768707483,1785.0
4,0.8082191780821918,0.921875,0.8613138686131386,64.0
5,0.8401428004760015,0.8843423799582464,0.8616761594792514,2395.0
9,0.9616220130340333,0.9947565543071161,0.9779086892488954,1335.0
10,0.8161764705882353,0.9736842105263158,0.888,228.0
accuracy,0.9683002458398705,0.9683002458398705,0.9683002458398705,0.9683002458398705
macro avg,0.9029812322416304,0.9553954825001805,0.9276310449408462,80947.0
weighted avg,0.9689702950858904,0.9683002458398705,0.9685237426312442,80947.0
